month,0
2015-01-01,1.0584553157894738
2015-02-01,1.0482993493384662
2015-03-01,1.0531994126978228
2015-04-01,1.0630470076943501
2015-05-01,1.0399443193104732
2015-06-01,1.0479357704495367
2015-07-01,0.9913600555334697
2015-08-01,0.959254580055653
2015-09-01,1.0300211846948466
2015-10-01,1.0327546008462292
2015-11-01,1.005998182906763
2015-12-01,0.9497208925350002
2016-01-01,0.9611024606313308
2016-02-01,1.038968259521854
2016-03-01,1.0516650936532965
2016-04-01,1.0671115756227956
2016-05-01,1.0672650535404042
2016-06-01,1.1126170830169526
2016-07-01,1.1149121917835112
2016-08-01,1.1152711259388295
2016-09-01,1.088136021946001
2016-10-01,1.144440947708993
2016-11-01,1.15675432079367
2016-12-01,1.1805505729261478
2017-01-01,1.216955906465568
2017-02-01,1.2155630955036711
2017-03-01,1.2231293351246828
2017-04-01,1.228618789064973
2017-05-01,1.2460142302998674
2017-06-01,1.2655956277992073
2017-07-01,1.252819936477703
2017-08-01,1.289585190425057
2017-09-01,1.3035464520379352
2017-10-01,1.3545415399951222
2017-11-01,1.3716474086323944
2017-12-01,1.4330766047762515
2018-01-01,1.371944201833637
2018-02-01,1.3589193017560512
2018-03-01,1.36417617350513
2018-04-01,1.3848113243699038
2018-05-01,1.4004856707296873
2018-06-01,1.4451507736501066
2018-07-01,1.4739103810312362
2018-08-01,1.4763791514412559
2018-09-01,1.3723329193274003
2018-10-01,1.410196480285944
2018-11-01,1.269200050953233
2018-12-01,1.3951671431887007
2019-01-01,1.4455821428341888
2019-02-01,1.459064824909595
2019-03-01,1.5130373812749185
2019-04-01,1.409727249524248
2019-05-01,1.5188271804245475
2019-06-01,1.5321810145938703
2019-07-01,1.4844416754347243
2019-08-01,1.5345629215749323
2019-09-01,1.5547264928886135
2019-10-01,1.607425586383966
2019-11-01,1.6531467478763604
2019-12-01,1.6240306875011008
2020-01-01,1.477343748524423
2020-02-01,1.200822801594602
2020-03-01,1.3780363942903242
2020-04-01,1.4446100605021384
2020-05-01,1.4641373323432723
2020-06-01,1.533662209421799
2020-07-01,1.602991134405291
2020-08-01,1.5615528763481943
2020-09-01,1.5524121943582223
2020-10-01,1.7794728505501674
2020-11-01,1.854737948306972
2020-12-01,1.8429980528584995
2021-01-01,1.9607126514941364
2021-02-01,2.073405654489872
2021-03-01,2.1707023006728976
2021-04-01,2.211912048326522
2021-05-01,2.214103073037722
2021-06-01,2.2387128153478693
2021-07-01,2.2894475325810766
2021-08-01,2.20351401968749
2021-09-01,2.3201794916900758
2021-10-01,2.260755614911621
2021-11-01,2.405814490000066
